Mouse #,Genotype,Sex,Group,WeightStart,BASELINEaverage,CIE1avergae,CIE2avergae,CIE3avergae,CIE4avergae,IncreaseFromBaseline,averagePrefBaseline,averagePrefCIE1,averagePrefCIE2,averagePrefCIE3,averagePrefCIE4,WeightEnd
01,C57,Male,V,28.1,0.968634686,1.161971831,1.535836177,2.142857143,1.013513514,0.044878827,0.625,0.826666667,1,1,0.853333333,29.6
02,C57,Male,V,27,0.273722628,0.102389078,0.805369128,2.2,3.682310469,3.408587842,0.333333333,0.1,0.633333333,0.68,0.896969697,27.7
03,C57,Male,V,24.6,1.829268293,1.797752809,2.357142857,3.321428571,3.822393822,1.99312553,0.4375,0.88,0.916666667,0.880634921,0.9,25.9
04,C57,Male,V,27.3,2.352398524,3.063380282,3.529411765,3.711340206,3.287671233,0.935272709,1,0.914285714,0.966666667,0.926262626,0.763636364,29.2
05,C57,Male,V,25.2,0.726744186,0.674157303,0.218978102,1.739130435,1.935483871,1.208739685,0.75,0.4,0.4,0.633333333,0.96,27.9
06,C57,Male,C,28,1.192579505,0.681818182,0.286624204,1.150159744,0.482315113,-0.710264393,0.75,1,0.6,0.766666667,0.5,31.1
07,C57,Male,C,28.9,0.390625,0.382165605,0.569620253,1.892744479,2.604790419,2.214165419,0.5,0.4,0.733333333,1,0.95,33.4
08,C57,Male,C,27.8,0.531914894,0.393442623,0.47318612,1.59375,2.188449848,1.656534954,0.75,0.8,0.8,0.933333333,0.812857143,32.9
09,C57,Male,C,29.4,0.644329897,0.099009901,0.380952381,0.575079872,0.094339623,-0.549990274,0.75,0.2,0.7,0.4,0.2,31.8
10,C57,Male,C,29.3,2.076124567,1.092715232,2.15625,3.644859813,3.096774194,1.020649626,1,0.65,0.971428571,0.896969697,0.898412698,31
11,C57,Male,C,25.8,1.568441065,0.418118467,1.438356164,1.862068966,1.096345515,-0.47209555,0.833333333,0.8,0.816666667,0.853333333,0.57,30.1
12,C57,Male,C,27.5,3.312720848,1.350482315,1.639871383,2.524271845,2.735849057,-0.576871791,1,1,0.933333333,0.914285714,0.846984127,31.8
13,C57,Male,C,28.2,1.669520548,1.698113208,1.948051948,2.129032258,2.621359223,0.951838675,0.916666667,0.91,0.852857143,0.858333333,0.841666667,30.9
14,C57,Male,C,25.6,1.025390625,0.441176471,0.104895105,0.315789474,0.310344828,-0.715045797,0.75,0.8,0.2,0.6,0.4,29
15,C57,Male,C,26.2,1.966292135,0.1875,0.598006645,1.490066225,1.538461538,-0.427830596,0.625,0.4,0.566666667,0.92,1,31.2
16,C57,Male,V,26,0.572519084,3.658536585,3.931034483,2.802768166,4.271186441,3.698667357,0.75,0.971428571,0.93030303,0.95,0.977777778,29.5
18,C57,Male,V,27.2,1.923076923,3.020833333,2.491694352,2.960526316,4.208633094,2.28555617,0.9,0.926666667,0.975,0.921428571,0.86,27.8
20,C57,Male,V,25.9,1.717557252,1.294964029,2.647058824,2.482014388,3.28125,1.563692748,0.9375,0.78,0.942857143,0.892857143,0.893650794,25.6
21,C57,Female,V,20.6,0.182926829,1.900452489,3.47107438,3.827160494,4.784482759,4.601555929,0.25,0.8,0.971428571,0.95,0.955555556,23.2
22,C57,Female,V,20,4.004854369,5.733333333,4.675324675,4.565217391,3,-1.004854369,0.845238095,0.966666667,1,1,0.942857143,22
23,C57,Female,V,18.5,2.9296875,4.714285714,3.584070796,4.625550661,4.307692308,1.378004808,0.816666667,0.925,0.877777778,0.95,0.886666667,19.5
24,C57,Female,V,19.5,3.015075377,3.698630137,4.170403587,5.112107623,5.294117647,2.27904227,0.875,0.955555556,0.925,0.913636364,0.96,20.4
25,C57,Female,V,19.6,1.721938776,3.333333333,3.681818182,4.751131222,4.142857143,2.420918367,0.875,0.933333333,0.916666667,1,0.942857143,21
26,C57,Female,C,17.8,3.980446927,1.527777778,4.019138756,4.285714286,2.523364486,-1.457082441,0.916666667,0.833333333,0.971428571,1,0.876190476,21.4
27,C57,Female,C,21.3,2.216748768,3.301435407,3.913043478,3.799126638,3.6,1.383251232,0.75,0.838095238,0.971428571,1,0.91,22.5
28,C57,Female,C,20.4,3.341584158,2.421524664,3.537735849,3.364485981,2.875,-0.466584158,0.5875,0.95,0.841666667,0.871428571,0.885714286,24
29,C57,Female,C,19.1,4.1015625,4.265402844,3.913043478,3.766233766,4.265402844,0.163840344,0.875,0.925,0.921428571,0.916666667,0.96,21.1
30,C57,Female,C,21.3,4.816513761,4.468085106,4.323144105,4.173913043,4.729064039,-0.087449722,0.844444444,0.927777778,0.952777778,0.877272727,0.975,20.3
31,C57,Female,V,19.1,4.435483871,4.390243902,5.56097561,4.829268293,6.060606061,1.62512219,0.875,0.9,0.91517094,1,0.955,19.8
32,C57,Female,V,19.2,4.573170732,4.880382775,3.75,3.853211009,3.802816901,-0.77035383,1,1,0.916883117,1,0.898412698,21.3
33,C57,Female,V,19.3,4.545454545,5.311004785,4.691943128,4.549763033,4.461538462,-0.083916084,0.761904762,1,0.96,0.872222222,0.854761905,19.5
34,C57,Female,V,19.4,1.984126984,2.537313433,4.678899083,4.657534247,5.27027027,3.286143286,0.9,0.95,0.930555556,0.977777778,0.983333333,22.2
35,C57,Female,V,16.6,2.045454545,2.727272727,3.116883117,4.454148472,3.21888412,1.173429575,0.75,1,0.876190476,0.898412698,0.702857143,23.3
37,C57,Female,C,19.3,2.487244898,4.471153846,3.853211009,2.889908257,2.764976959,0.277732061,1,0.938095238,1,0.708888889,0.638095238,21.7
38,C57,Female,C,19.7,2.525906736,0.927835052,4.137931034,4.411764706,4.593301435,2.0673947,0.916666667,0.8,1,1,1,20.9
39,C57,Female,C,16.6,3.214285714,4.225352113,3.853211009,4.090909091,4.428571429,1.214285714,0.75,0.977777778,0.925,1,0.975,21
40,C57,Female,C,22.5,1.622596154,2.054794521,2.894736842,2.88209607,3.451327434,1.82873128,0.708333333,0.8,0.977777778,0.95,1,22.6